# ID_1        photz   SED   chisq       RA            Dec          rflux      f814w     f105w        f140w          ch1      ech1       
  9.000185    0.99    4     71.87       175.6744978   15.4602389   0.38905    0.0       0.7913346    0.8476961      0.0      1.4258538  
  9.000186    0.74    8     115.32      175.6929543   15.4601757   0.43559    0.0       0.6061222    0.48177046     0.0      1.4258538  
  9.000187    1.02    4     256.29      175.6847015   15.4598031   0.8281     2.3592    9.440613     16.005903      44.117   1.4259     
  9.000188    1.04    0     32.07       175.6837049   15.459936    0.0        0.0       0.610155     1.145197       0.0      1.4258538  
  9.000189    0.88    8     110.76      175.7060348   15.4598639   0.0        1.0858    1.1317751    1.2573037      0.0      1.4258538  
  9.000190    1.05    3     90271.0     175.6976651   15.4593014   11.268     5.178     37.41797     41.94114       24.903   1.4259     
  9.000191    0.9     2     1057.9      175.6697086   15.4597377   0.5665     0.47072   2.1537743    1.5417011      0.0      1.4258538  
  9.000192    0.95    4     424.01      175.6696495   15.4594853   0.5665     0.0       1.4650086    1.2861161      0.0      1.4258538  
  9.000193    0.87    1     32.18       175.6838784   15.4597642   0.0        0.0       0.3593852    0.57321846     0.0      1.4258538  
  9.000194    0.22    8     29.16       175.6866993   15.459594    0.39726    0.40057   0.5388156    0.5501995      0.0      1.4258538  
  9.000195    0.82    7     69.72       175.7075747   15.459524    0.63136    1.5194    2.7456186    3.6657276      0.0      1.4258538  
  9.000196    0.9     1     14.66       175.67272     15.4595742   0.0        0.0       0.35130164   0.4605536      0.0      1.4258538  
  9.000197    0.9     8     56.88       175.6752457   15.4594186   0.0        0.0       0.64203715   0.76453996     0.0      1.4258538  
  9.000198    0.42    8     155.46      175.7097446   15.4593086   1.0117     0.76849   0.98955554   1.3891853      0.0      1.4258538  
  9.000199    1.02    4     472.95      175.6846729   15.4590125   0.67223    2.078     9.034002     15.100809      49.397   1.4259     
  9.000200    0.93    8     47.65       175.6987689   15.4592797   0.0        0.0       0.3405024    0.21041669     0.0      1.4258538  
  9.000201    0.73    3     3261.6      175.6755476   15.4587031   13.547     24.54     42.38383     58.67866       76.681   1.4259     
  9.000202    1.12    9     325.6       175.6971601   15.4590723   0.0        0.0       1.6477078    2.900282       24.903   1.4259     
  9.000203    0.21    8     59726.0     175.7059075   15.4589197   32.638     31.143    39.865776    48.578064      0.0      1.4258538  
  9.000204    0.2     8     12195.0     175.7059401   15.4583134   106.76     130.03    177.89355    226.36028      176.1    1.4259     
  9.000205    0.61    8     163.11      175.6697141   15.4590037   0.68265    0.0       1.09931      1.1778234      0.0      1.4258538  
  9.000206    1.05    7     16.53       175.6896056   15.4588055   0.8356     1.6117    3.787566     5.597063       12.779   1.4259     
  9.000207    1.38    1     31.44       175.6810988   15.4589155   0.0        0.32036   0.61342317   1.5066077      0.0      1.4258538  
  9.000208    0.99    1     55.16       175.6939515   15.4588611   0.0        0.0       1.113782     1.8220496      0.0      1.4258538  
  9.000209    1.04    2     54.25       175.6875938   15.458824    0.0        0.0       1.1550484    2.0181813      0.0      1.4258538  
  9.000210    0.5     8     42.9        175.6889352   15.4588998   0.302      0.0       0.51059926   0.86401284     0.0      1.4258538  
  9.000211    0.62    8     130.57      175.7099669   15.458854    0.49019    0.43664   0.26334202   0.24515466     0.0      1.4258538  
  9.000212    0.87    2     91.4        175.6855106   15.4587592   0.191      0.48524   1.9191998    3.1762903      0.0      1.4258538  
  9.000213    1.02    3     57.39       175.7018092   15.4586614   0.24854    0.0       0.72657454   0.76018655     0.0      1.4258538  
  9.000214    0.87    8     694.99      175.7071915   15.4585452   0.0        0.55035   2.603276     3.1944802      0.0      1.4258538  
  9.000215    1.26    7     284.4       175.6920876   15.4584049   1.8764     2.434     8.1869135    13.525714      44.48    1.4259     
  9.000216    0.52    9     516.23      175.7005546   15.4610788   1.5705     0.44488   2.668334     3.306132       0.0      1.4258538  
  9.000217    1.21    8     86.64       175.685826    15.4585013   0.42627    0.0       0.76778597   1.3502065      0.0      1.4258538  
  9.000218    1.09    9     288.48      175.6987164   15.4584414   1.0913     0.0       1.5301013    1.89008        0.0      1.4258538  
  9.000219    1.02    4     97.9        175.6980273   15.4583947   0.0        0.47119   2.3366852    3.9682608      17.56    1.4259     
  9.000220    0.95    8     265.94      175.6698533   15.4583998   0.0        0.0       0.9145347    0.677205       0.0      1.4258538  
  9.000221    0.97    8     12.95       175.6809719   15.4583792   0.0        0.0       0.29241535   0.33186403     0.0      1.4258538  
  9.000222    1.07    3     48.53       175.6828467   15.4583591   0.21145    0.0       0.5981363    0.66227776     0.0      1.4258538  
  9.000223    1.03    9     30.98       175.6871786   15.458207    0.28184    0.92164   2.2300787    3.337338       7.6021   1.4259     
  9.000224    0.39    8     5.3         175.7026134   15.4582929   0.38969    0.34693   0.53841877   0.77646196     0.0      1.4258538  
  9.000225    1.01    2     21.02       175.6944979   15.4582441   0.0        0.0       0.55055434   0.9032338      0.0      1.4258538  
  9.000226    1.1     8     248030.0    175.6905454   15.4578875   5.8447     10.164    63.991196    75.599724      44.437   1.4259     
  9.000227    1.15    8     192.65      175.6972263   15.4580801   0.65808    0.0       1.3713875    1.8375543      0.0      1.4258538  
  9.000228    0.91    1     100.46      175.7001018   15.4581066   0.0        0.0       1.2033728    1.6834499      0.0      1.4258538  
  9.000229    1.03    8     34.9        175.7083843   15.4581414   0.0        0.0       0.41335213   0.41369492     0.0      1.4258538  
  9.000230    1.01    3     128.81      175.6743833   15.4579277   0.77482    0.60367   1.8968813    2.358089       0.0      1.4258538  
  9.000231    1.05    4     100.95      175.6826818   15.4577992   0.41891    0.87862   4.750291     8.319941       23.961   1.4259     
