# ID        RA            DEC           z      Mag    Int_Pz    Rad(')   Rank
09.000246   175.7060919  +15.4570855    0.95   99.00  0.235     1.10     133
09.000197   175.6752457  +15.4594186    0.90   99.00  0.215     0.88     133
09.000472   175.7029068  +15.4469560    0.97   99.00  0.218     0.91     133
09.000572   175.6750967  +15.4395356    1.03   99.00  0.229     1.03     133
09.000124   175.6786885  +15.4635458    0.94   99.00  0.217     0.90     132
09.000285   175.6737872  +15.4556476    1.03   99.00  0.212     0.86     132
09.000342   175.6761314  +15.4531818    1.00   99.00  0.189     0.69     132
09.000119   175.6742174  +15.4636883    0.95   99.00  0.231     1.08     132
09.000642   175.6757628  +15.4355152    0.96   99.00  0.238     1.18     132
09.000463   175.7003882  +15.4471220    1.04   99.00  0.199     0.77     132
09.000321   175.6717255  +15.4544019    1.04   99.00  0.219     0.95     131
09.000062   175.7046195  +15.4674424    0.71   24.48  0.061     1.36     131
09.000392   175.6711582  +15.4511792    1.07   99.00  0.220     0.97     131
